,Total_decanoic acid_Mass,Total_decanoate_Mass,Total_decylamine_Mass,Total_decyl trimethylamine_Mass,Total_decylsulfate_Mass,Total_decanol_Mass,Total_monocaprin_Mass,num_vesicles,area_vesicles,area_percent
0,0.85,1.6,2.425,3.725,4.35,0.555,0.785,22,362985.5056819902,0.3461699539966489
1,3.425,0.905,0.192,1.875,2.375,0.231,0.113,9,60223.93847023463,0.0574340233518929
2,2.2,1.025,2.65,4.975,4.25,0.1725,0.225,6,54847.4953426974,0.0523066476275419
3,3.625,4.975,0.465,0.074,3.375,0.8025,0.12,2,4963.716392671873,0.0047337688376158
4,2.225,3.225,4.35,1.425,1.75,1.1175,0.35,36,715620.2489685654,0.682468651741567
5,0.445,4.0,3.325,4.575,3.925,0.8775,0.172,40,516263.4185515544,0.4923471627727074
6,4.425,4.825,3.3,1.8,0.825,0.54,0.845,22,154523.55435671264,0.1473651450698019
7,3.9,3.9,0.75,4.725,4.625,0.297,0.265,39,238177.09813833825,0.227143381250704
8,0.82,0.31,0.57,0.085,3.675,1.2525,0.52,9,51964.691383947065,0.0495573915328474
9,0.41,2.925,0.945,2.425,4.925,0.1364999999999999,0.375,30,210243.6270589446,0.2005039473142095
10,0.895,0.755,4.125,0.64,2.0,1.0575,0.72,8,61324.28129715446,0.0584833920451683
11,3.7,3.725,1.475,4.95,1.275,0.465,0.95,40,261592.17358370643,0.2494737373196662
12,1.6,3.95,1.625,0.23,1.925,0.51,0.79,26,159827.3481541356,0.1524232369939189
13,2.8,3.625,3.2,2.25,3.975,0.4575,0.555,36,354868.0229641958,0.3384285192148168
14,0.186,4.6,2.025,2.575,2.875,0.6975,0.41,31,345169.53374348243,0.3291793191370796
15,4.725,1.175,0.035,3.4,4.475,1.4475,0.143,35,354729.4001883562,0.3382963182338296
16,3.95,4.875,4.65,0.191,3.95,1.395,0.33,18,192514.04891841064,0.1835957040008646
17,1.025,2.575,3.675,3.4,0.048,1.35,0.725,0,1461.2332830009525,0.0013935406522759
18,4.6,1.875,3.85,0.695,2.925,0.081,0.103,30,217549.79347394936,0.2074716505755895
19,0.37,0.104,2.25,1.5,2.85,1.4475,0.33,12,168250.74345657323,0.1604564127507908
20,2.175,1.275,3.375,0.01,3.65,0.8625,0.44,8,58924.49720889356,0.0561947795952735
21,1.75,0.585,2.275,3.775,2.525,0.036,0.39,14,121758.3137760979,0.1161177766571978
22,1.175,2.925,3.775,2.45,1.525,0.204,0.23,22,343191.9011680477,0.3272933017425991
23,3.325,3.325,3.85,2.0,3.725,1.4475,0.565,36,331135.6466608151,0.3157955614669944
24,3.075,2.275,0.21,4.625,0.225,1.3425,0.16,7,25931.09846181185,0.0247298225992315
25,1.8,4.75,1.675,3.075,4.225,0.8625,0.74,26,152449.71050626168,0.1453873734533898
26,2.2,4.275,3.125,4.65,2.975,0.6675,0.4,26,362331.66171096184,0.3455463997945421
27,1.175,2.55,0.64,1.3,2.025,0.0914999999999999,0.67,16,58798.83350274995,0.0560749373462199
28,0.14,3.475,1.475,4.15,3.375,1.0425,0.42,32,545744.1240128411,0.520462154400674
29,3.075,4.6,4.125,2.15,2.475,1.47,0.465,38,288939.73763320554,0.2755544067699484
30,2.825,3.0,3.275,3.85,3.825,0.795,0.28,30,423637.0934521947,0.4040118155023524
31,3.3,0.8,2.175,0.2,0.555,0.4275,0.305,14,153899.5555158934,0.1467700534018453
32,3.35,1.875,0.28,0.915,3.975,0.5025,0.415,18,117514.02210109812,0.1120701046954136
33,1.6,3.05,4.6,3.65,0.51,1.05,0.365,6,48755.5544883051,0.0464969200976419
34,4.75,0.57,2.2,0.57,4.95,0.27,0.68,22,84874.83792570865,0.0809429530388914
35,2.975,1.25,2.85,2.825,4.75,0.645,0.51,41,511548.28067759785,0.4878504568840006
36,1.625,2.7,1.45,0.73,4.0,0.2504999999999999,0.37,14,67908.66679999696,0.0647627513885468
37,3.15,0.23,4.075,1.25,0.855,0.144,0.1169999999999999,5,59003.42972431501,0.0562700555079602
38,3.725,0.735,2.375,0.375,4.05,0.3975,0.56,28,124185.19410099604,0.1184322300920448
39,0.765,1.625,1.6,4.35,3.65,0.2745,0.64,4,25493.631684799475,0.0243126217697138
40,4.625,4.375,3.425,1.4,0.8,0.96,0.635,20,161721.33582516856,0.1542294843913731
41,0.395,2.075,4.1,1.5,4.75,0.3825,0.955,42,586487.4391372472,0.5593180076000663
42,1.9,0.66,3.575,0.645,1.725,0.54,0.565,10,145046.94011715907,0.1383275414630499
43,3.9,4.475,1.525,1.125,1.15,0.5775,0.585,16,101423.56992757456,0.0967250537181611
44,1.275,0.78,4.65,4.675,0.24,1.155,0.56,8,54378.61263914913,0.0518594862357607
45,2.225,4.525,4.3,2.6,0.75,1.215,0.134,7,79410.4302038709,0.0757316877402027
46,2.1,1.35,0.995,4.4,1.625,1.32,0.98,8,61288.15298163817,0.0584489373985653
47,4.575,0.54,0.54,3.75,1.025,0.8325,0.93,28,291425.9155194401,0.2779254107660676
