x_center,y_center,box_length,score
983.0,189.0,37.0,0.918140172958374
194.0,477.0,43.0,0.8982113003730774
888.0,716.0,43.0,0.8880069255828857
92.0,436.0,37.0,0.8855990767478943
455.0,610.0,32.0,0.8784257769584656
600.0,769.0,40.0,0.8367382884025574
840.0,866.0,29.0,0.8277220129966736
916.0,134.0,29.0,0.8269011974334717
912.0,186.0,35.0,0.8206408619880676
737.0,730.0,26.0,0.8089058995246887
806.0,258.0,29.0,0.7783473134040833
36.0,30.0,29.0,0.7743487358093262
309.0,556.0,24.0,0.7470503449440002
167.0,279.0,21.0,0.7315295338630676
993.0,293.0,26.0,0.726488471031189
765.0,129.0,23.0,0.7209151387214661
315.0,107.0,26.0,0.7141377329826355
675.0,1007.0,24.0,0.7102389931678772
694.0,440.0,24.0,0.6941929459571838
183.0,245.0,26.0,0.6922116875648499
757.0,519.0,24.0,0.66484135389328
266.0,969.0,21.0,0.6625620126724243
712.0,690.0,21.0,0.6615610718727112
876.0,143.0,35.0,0.6560396552085876
977.0,26.0,21.0,0.6501173377037048
128.0,985.0,29.0,0.6442180871963501
897.0,589.0,29.0,0.6404200792312622
459.0,1008.0,21.0,0.6352805495262146
520.0,481.0,29.0,0.6139882206916809
186.0,842.0,21.0,0.603567898273468
93.0,701.0,21.0,0.5931295156478882
968.0,671.0,24.0,0.5886965990066528
108.0,557.0,35.0,0.5886849164962769
977.0,159.0,21.0,0.5603654384613037
81.0,796.0,24.0,0.5384206175804138
138.0,655.0,17.0,0.5275726914405823
796.0,1013.0,21.0,0.5263456106185913
997.0,568.0,24.0,0.5228212475776672
815.0,541.0,19.0,0.5152097940444946
510.0,95.0,17.0,0.5073740482330322
621.0,375.0,21.0,0.5022140145301819
