x_center,y_center,box_length,score
857.0,741.0,45.0,0.8649925589561462
584.0,766.0,43.0,0.8347492814064026
921.0,585.0,40.0,0.821331799030304
463.0,573.0,43.0,0.8184449672698975
957.0,419.0,26.0,0.8003813028335571
977.0,223.0,32.0,0.7945602536201477
942.0,133.0,29.0,0.7860064506530762
853.0,27.0,40.0,0.7827133536338806
660.0,299.0,32.0,0.7808738946914673
896.0,139.0,35.0,0.7707768082618713
354.0,281.0,29.0,0.733466386795044
693.0,606.0,32.0,0.7323126792907715
783.0,224.0,37.0,0.7317144274711609
715.0,92.0,32.0,0.7074095010757446
486.0,151.0,26.0,0.7070820927619934
890.0,683.0,40.0,0.7070298790931702
1001.0,20.0,29.0,0.7055781483650208
997.0,87.0,21.0,0.7031957507133484
870.0,462.0,29.0,0.6803607940673828
700.0,570.0,35.0,0.6732417345046997
642.0,148.0,17.0,0.6555877327919006
194.0,665.0,19.0,0.6500779986381531
737.0,551.0,24.0,0.6432749629020691
517.0,94.0,24.0,0.6323283314704895
739.0,59.0,23.0,0.61681067943573
811.0,142.0,37.0,0.6154153943061829
409.0,523.0,40.0,0.6067759990692139
581.0,379.0,26.0,0.6043623685836792
627.0,102.0,34.0,0.60135418176651
414.0,578.0,35.0,0.5948020815849304
191.0,475.0,26.0,0.5946066975593567
935.0,62.0,24.0,0.594573974609375
972.0,357.0,24.0,0.5920403003692627
897.0,102.0,24.0,0.5888481736183167
936.0,161.0,29.0,0.5877146124839783
542.0,702.0,17.0,0.583548367023468
492.0,370.0,26.0,0.5764451026916504
820.0,443.0,21.0,0.5724610090255737
519.0,20.0,19.0,0.5627673864364624
986.0,739.0,37.0,0.5617464780807495
944.0,201.0,19.0,0.5591803789138794
946.0,660.0,37.0,0.5591036677360535
491.0,52.0,26.0,0.5588000416755676
1001.0,340.0,29.0,0.5417268872261047
830.0,596.0,21.0,0.5369652509689331
328.0,208.0,26.0,0.5350933074951172
600.0,172.0,24.0,0.5323318243026733
576.0,201.0,24.0,0.5306541323661804
388.0,348.0,32.0,0.5296597480773926
1007.0,1011.0,17.0,0.5257487893104553
210.0,440.0,24.0,0.5245413184165955
820.0,160.0,32.0,0.5184199810028076
921.0,355.0,25.0,0.5152189135551453
839.0,646.0,24.0,0.5066288113594055
967.0,590.0,24.0,0.5064253211021423
386.0,277.0,24.0,0.5031474232673645
176.0,183.0,21.0,0.5011959075927734
956.0,761.0,26.0,0.5009198188781738
617.0,198.0,27.0,0.5002800226211548
