x_center,y_center,box_length,score
652.0,549.0,37.0,0.904608428478241
592.0,828.0,53.0,0.8851186037063599
598.0,418.0,44.0,0.8826144337654114
583.0,52.0,48.0,0.8738877177238464
393.0,374.0,45.0,0.8713312745094299
336.0,346.0,48.0,0.8650545477867126
258.0,430.0,50.0,0.8561315536499023
274.0,650.0,40.0,0.8522045016288757
199.0,986.0,40.0,0.8407949805259705
63.0,988.0,42.0,0.8397812247276306
843.0,92.0,60.0,0.8394860625267029
594.0,334.0,48.0,0.8381521701812744
110.0,309.0,43.0,0.8366604447364807
908.0,859.0,40.0,0.8341032266616821
504.0,317.0,35.0,0.8339500427246094
117.0,985.0,45.0,0.8299604058265686
459.0,294.0,40.0,0.8274347186088562
644.0,345.0,32.0,0.8146617412567139
268.0,590.0,40.0,0.8055568933486938
269.0,343.0,32.0,0.8046906590461731
111.0,798.0,53.0,0.8029490113258362
414.0,525.0,45.0,0.7924871444702148
901.0,918.0,40.0,0.7851810455322266
453.0,980.0,37.0,0.7847415208816528
580.0,503.0,59.0,0.7825616598129272
501.0,760.0,29.0,0.7732446193695068
552.0,631.0,29.0,0.7654111981391907
28.0,601.0,57.0,0.7542343735694885
938.0,643.0,29.0,0.7487292289733887
759.0,530.0,48.0,0.7479285001754761
713.0,338.0,32.0,0.7469415664672852
734.0,314.0,45.0,0.7456944584846497
791.0,866.0,43.0,0.7450447082519531
854.0,35.0,50.0,0.7449569702148438
756.0,745.0,40.0,0.7325968742370605
604.0,725.0,32.0,0.7185049653053284
782.0,498.0,35.0,0.7168756127357483
648.0,619.0,40.0,0.7114708423614502
290.0,306.0,43.0,0.6866546869277954
314.0,715.0,45.0,0.6799200773239136
719.0,159.0,65.0,0.6719915866851807
479.0,645.0,21.0,0.6698392629623413
285.0,827.0,26.0,0.6598876714706421
894.0,82.0,26.0,0.6542133092880249
472.0,376.0,32.0,0.6500515937805176
840.0,584.0,19.0,0.6177231073379517
763.0,371.0,29.0,0.6117494106292725
384.0,217.0,35.0,0.603143572807312
747.0,421.0,17.0,0.6020668745040894
228.0,767.0,17.0,0.5920390486717224
130.0,252.0,43.0,0.5793412327766418
942.0,474.0,19.0,0.5643497705459595
951.0,119.0,26.0,0.5601958632469177
490.0,849.0,32.0,0.5553231835365295
337.0,79.0,17.0,0.540859580039978
190.0,713.0,17.0,0.5369170904159546
535.0,665.0,19.0,0.5369048118591309
955.0,553.0,17.0,0.5247228145599365
237.0,980.0,17.0,0.521731972694397
366.0,277.0,32.0,0.521460235118866
199.0,750.0,24.0,0.5161902904510498
229.0,13.0,21.0,0.5093875527381897
1010.0,484.0,17.0,0.5003499984741211
