x_center,y_center,box_length,score
397.0,109.0,29.0,0.7431216239929199
616.0,161.0,26.0,0.7267856001853943
94.0,908.0,32.0,0.7138054370880127
368.0,72.0,26.0,0.6994086503982544
311.0,334.0,26.0,0.6967946887016296
436.0,170.0,24.0,0.6827427744865417
574.0,289.0,32.0,0.6581230163574219
381.0,382.0,26.0,0.6432380080223083
163.0,585.0,32.0,0.6410350203514099
63.0,713.0,21.0,0.6347150802612305
411.0,706.0,21.0,0.6118486523628235
370.0,756.0,35.0,0.5899221301078796
48.0,209.0,29.0,0.5836440324783325
684.0,743.0,21.0,0.5774709582328796
225.0,788.0,24.0,0.577239453792572
883.0,685.0,50.0,0.5746153593063354
190.0,852.0,21.0,0.5730007886886597
333.0,757.0,35.0,0.5594606995582581
291.0,1010.0,26.0,0.5529471635818481
353.0,43.0,24.0,0.549959123134613
687.0,12.0,21.0,0.5495738983154297
495.0,286.0,19.0,0.5317921042442322
703.0,649.0,21.0,0.5282745957374573
621.0,902.0,17.0,0.5168876051902771
893.0,712.0,26.0,0.501844048500061
