x_center,y_center,box_length,score
213.0,402.0,44.0,0.82957923412323
847.0,888.0,37.0,0.7777736783027649
476.0,559.0,29.0,0.7482712268829346
220.0,268.0,29.0,0.7277321219444275
891.0,644.0,21.0,0.687146782875061
78.0,806.0,26.0,0.6832218766212463
414.0,854.0,24.0,0.6380907893180847
290.0,275.0,40.0,0.6193992495536804
524.0,327.0,24.0,0.617094874382019
230.0,61.0,29.0,0.6131378412246704
299.0,892.0,29.0,0.6092672944068909
735.0,696.0,21.0,0.6054754853248596
724.0,281.0,17.0,0.6042838096618652
54.0,838.0,29.0,0.5927072167396545
1008.0,752.0,21.0,0.5795831680297852
965.0,518.0,21.0,0.5644508600234985
381.0,81.0,21.0,0.5616652369499207
370.0,413.0,19.0,0.5601696968078613
580.0,824.0,19.0,0.541999876499176
