x_center,y_center,box_length,score
825.0,503.0,26.0,0.7947397828102112
911.0,725.0,23.0,0.7662707567214966
767.0,537.0,26.0,0.7402454614639282
800.0,490.0,24.0,0.7239259481430054
1003.0,158.0,35.0,0.7046035528182983
386.0,153.0,24.0,0.7013283371925354
556.0,262.0,19.0,0.6901002526283264
437.0,982.0,24.0,0.6803192496299744
884.0,418.0,21.0,0.6643109917640686
291.0,447.0,40.0,0.6536231637001038
27.0,403.0,29.0,0.6465563178062439
345.0,683.0,21.0,0.6460383534431458
575.0,368.0,17.0,0.6400017142295837
380.0,398.0,26.0,0.6287417411804199
787.0,925.0,17.0,0.6217929720878601
447.0,148.0,17.0,0.6203821897506714
455.0,294.0,17.0,0.6177313327789307
647.0,704.0,19.0,0.6174057722091675
208.0,446.0,19.0,0.6144440174102783
266.0,916.0,21.0,0.612248420715332
576.0,668.0,21.0,0.6099972128868103
696.0,590.0,17.0,0.5890114307403564
512.0,681.0,17.0,0.5844108462333679
466.0,679.0,21.0,0.5813381671905518
281.0,140.0,17.0,0.5792284607887268
847.0,417.0,24.0,0.5777271389961243
883.0,716.0,17.0,0.575588047504425
753.0,174.0,17.0,0.5668092370033264
670.0,37.0,19.0,0.5554541945457458
649.0,596.0,19.0,0.5525446534156799
223.0,305.0,19.0,0.5501774549484253
646.0,16.0,17.0,0.5431289672851562
133.0,223.0,17.0,0.5401936769485474
739.0,306.0,17.0,0.5380626320838928
963.0,176.0,17.0,0.5374920964241028
713.0,593.0,17.0,0.5348917245864868
467.0,12.0,24.0,0.5319138765335083
364.0,320.0,17.0,0.5318840742111206
495.0,28.0,17.0,0.5132282376289368
919.0,704.0,17.0,0.5093698501586914
350.0,356.0,19.0,0.5091817378997803
867.0,401.0,26.0,0.5067527294158936
